StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9_1,Q9_2,Q9_3,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q10,Q12,Q13,Q14_1,Q15,Q16_0_GROUP,Q16_1_GROUP,Q16_0_1_RANK,Q16_0_2_RANK,Q16_0_9_RANK,Q16_0_3_RANK,Q16_0_4_RANK,Q16_0_5_RANK,Q16_0_7_RANK,Q16_0_14_RANK,Q16_0_15_RANK,Q16_1_1_RANK,Q16_1_2_RANK,Q16_1_9_RANK,Q16_1_3_RANK,Q16_1_4_RANK,Q16_1_5_RANK,Q16_1_7_RANK,Q16_1_14_RANK,Q16_1_15_RANK,Q17,Q18_1,Q18_2,Q19,Q20,Q21_1,Q21_2,Q22_1_x,Q22_1_y,Q22,Q7 - Topics
8/28/2019 16:26:52,8/28/2019 16:28:25,IP Address,131.212.251.112,100,92,True,8/28/2019 16:28:26,R_2fv5BU05gMwKXUi,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",25-34 years old,Male,White,Bachelor's degree,"$65,000 - $79,999",55126,Suburban,1,1,1,1,1,1,1,1,"Water purifiers/filter
 ",0,Synthetic chemicals,1,"Toxic drinking water,Algae blooms,Death of fish and other aquatic life,Flooding,Waterborne pathogens,Disease from consumption,Eutrophication,Heavy Metal Contamination,Skin rashes with contact","Human Waste Products,Commercial/Industrial Waste,Atmospheric Deposition,Agriculture","Urban Runoff (storm drains),Food/Garbage Disposal Waste,Individual Sewage Systems,Stream Bank Erosion,Dish-washing Detergent",4,,3,1,2,,,,,,2,,,,1,4,5,3,Erosion,2,2,Other,Consumer,1,1,57,71,Northwestern Minnesota,Unknown
8/28/2019 19:00:47,8/28/2019 19:03:09,IP Address,131.212.251.99,100,141,True,8/28/2019 19:03:09,R_sGVH9scklKsbogV,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",18-24 years old,Male,White,Some High School,"Less than $24,999",55032,Rural,4,4,3,5,4,5,5,5,"Water softeners
 ,Bottled Water
 ",10,Nitrogen ,3,Toxic drinking water,"Food/Garbage Disposal Waste,Agriculture,Atmospheric Deposition","Commercial/Industrial Waste,Individual Sewage Systems,Dish-washing Detergent",2,1,3,,,,,,,,,,,1,,,3,2,Application of fertilizers,4,5,News outlets,Producer/Farmer,4,4,468,320,Northeastern Minnesota,Unknown
9/2/2019 12:48:17,9/2/2019 12:50:38,IP Address,131.212.251.187,100,141,True,9/2/2019 12:50:38,R_3QXa0FIMz5GswJC,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",18-24 years old,Female,White,"Some college, no degree","$105,000 or more",55410,Suburban,1,3,3,0,1,0,3,3,"Water softeners
 ",6,Nitrogen ,0,,"Commercial/Industrial Waste,Agriculture",,2,,,,1,,,,,,,,,,,,,,Application of fertilizers,4,4,News outlets,Consumer,2,2,220,597,Southwest Minnesota,Unknown
8/28/2019 15:18:45,8/28/2019 15:21:17,IP Address,131.212.250.3,100,152,True,8/28/2019 15:21:18,R_PM5ZajL6FIf0mXf,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",25-34 years old,Male,White,Bachelor's degree,"$105,000 or more",55410,Urban,1,5,3,3,3,3,5,5,"Water purifiers/filter
 ",9,Synthetic chemicals,0,"Toxic drinking water,Algae blooms,Death of fish and other aquatic life,Skin rashes with contact","Commercial/Industrial Waste,Individual Sewage Systems,Human Waste Products,Food/Garbage Disposal Waste,Agriculture","Dish-washing Detergent,Stream Bank Erosion,Urban Runoff (storm drains),Atmospheric Deposition",5,4,,3,1,,,,2,,,4,,,3,2,1,,I don’t know,0,0,,Consumer,1,2,383,591,The Twin-Cities Metro Area,Unknown
8/28/2019 19:53:44,8/28/2019 19:56:19,IP Address,131.212.249.124,100,154,True,8/28/2019 19:56:20,R_AM71PNsff6HzyEh,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",18-24 years old,Male,White,Some High School,"$65,000 - $79,999",86716,Suburban,1,1,1,1,1,1,1,1,"Bottled Water
 ",0,Synthetic chemicals,0,"Toxic drinking water,Algae blooms,Death of fish and other aquatic life,Flooding,Waterborne pathogens,Disease from consumption,Eutrophication,Heavy Metal Contamination,Skin rashes with contact",,,,,,,,,,,,,,,,,,,,,Erosion,1,1,News outlets,Consumer,2,2,360,508,Central Minnesota,Unknown
8/28/2019 15:18:22,8/28/2019 15:21:00,IP Address,131.212.248.184,100,157,True,8/28/2019 15:21:01,R_25Spyfx9zAIbJMy,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",18-24 years old,Male,Asian,Graduate or professional degree,"$25,000 - $44,999",55414,Urban,5,4,3,4,4,4,3,5,"Water purifiers/filter
 ",10,Pesticides,1,Toxic drinking water,"Dish-washing Detergent,Individual Sewage Systems,Human Waste Products,Urban Runoff (storm drains),Commercial/Industrial Waste","Food/Garbage Disposal Waste,Stream Bank Erosion,Atmospheric Deposition,Agriculture",,,,3,5,4,,1,2,4,1,3,,,,2,,,Erosion,2,1,School,Consumer,3,3,142,339,Northwestern Minnesota,Unknown
9/2/2019 10:47:03,9/2/2019 10:49:46,IP Address,131.212.248.225,100,162,True,9/2/2019 10:49:46,R_2zOY485ZK4ep4rW,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",35-44 years old,Male,White,"Some college, no degree","$45,000 - $64,999",55124,Suburban,2,3,2,4,4,3,1,2,"Water purifiers/filter
 ",7,Nitrogen ,2,Toxic drinking water,,,,,,,,,,,,,,,,,,,,,Erosion,4,3,School,Producer/Farmer,1,5,376,601,The Twin-Cities Metro Area,Unknown
8/28/2019 19:53:08,8/28/2019 19:55:51,IP Address,131.212.251.98,100,163,True,8/28/2019 19:55:52,R_DGIdAFiqIewxC6t,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",18-24 years old,Female,White,Some High School,"$25,000 - $44,999",55432,Suburban,3,3,5,2,2,2,2,2,I don't use any of these on a regular basis,5,Bacteria,2,Toxic drinking water,"Stream Bank Erosion,Commercial/Industrial Waste,Human Waste Products,Individual Sewage Systems,Food/Garbage Disposal Waste","Dish-washing Detergent,Atmospheric Deposition,Urban Runoff (storm drains),Agriculture",,5,,3,2,,1,,4,4,,2,,,3,,1,,I don’t know,2,1,School,"Student in agricultural field ,Consumer",3,3,306,274,Northeastern Minnesota,Unknown
8/28/2019 19:54:40,8/28/2019 19:57:25,IP Address,131.212.251.68,100,164,True,8/28/2019 19:57:25,R_PU0d31urZ6dFzdD,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",18-24 years old,Female,White,High School Diploma or GED,"Less than $24,999",55304,Suburban,1,0,3,2,2,2,2,2,"Water softeners
 ,Bottled Water
 ",10,Phosphorus,,Algae blooms,"Commercial/Industrial Waste,Food/Garbage Disposal Waste,Dish-washing Detergent,Human Waste Products,Agriculture","Atmospheric Deposition,Individual Sewage Systems,Stream Bank Erosion,Urban Runoff (storm drains)",5,2,,4,1,,,3,,,,1,,,4,3,,2,Application of fertilizers,2,2,News outlets,Government employee (USDA),2,2,451,724,Southeast Minnesota,Unknown
9/2/2019 12:01:25,9/2/2019 12:04:09,IP Address,131.212.251.174,100,164,True,9/2/2019 12:04:11,R_2Pk7hj1S9EDW7fW,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",45-54 years old,Male,White,Graduate or professional degree,"$105,000 or more",55108,Urban,1,2,1,0,1,1,2,5,,10,Pesticides,,"Toxic drinking water,Algae blooms,Death of fish and other aquatic life,Flooding,Waterborne pathogens,Disease from consumption,Eutrophication,Heavy Metal Contamination,Skin rashes with contact",Atmospheric Deposition,Urban Runoff (storm drains),,,1,,,,,,,,,,,,1,,,,Application of fertilizers,6,6,News outlets,Producer/Farmer,5,2,397,625,The Twin-Cities Metro Area,Unknown
