StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2,Q3,Q3,Q4,Q4,Q5,Q5,Q6,Q6,Q7,Q8,Q8,Q9.1,Q.9.1,Q9.2,Q.9.2,Q9.3,Q.9.3,Q11_1,Q.11.1,Q11_2,Q.11.2,Q11_3,Q.11.3,Q11_4,Q.11.4,Q11_5,Q.11.5,Q10,Q12,Q13,Q14_1,Q15,Q16_0_GROUP,Q16_1_GROUP,Q16_0_1_RANK,Q16_0_2_RANK,Q16_0_9_RANK,Q16_0_3_RANK,Q16_0_4_RANK,Q16_0_5_RANK,Q16_0_7_RANK,Q16_0_14_RANK,Q16_0_15_RANK,Q16_1_1_RANK,Q16_1_2_RANK,Q16_1_9_RANK,Q16_1_3_RANK,Q16_1_4_RANK,Q16_1_5_RANK,Q16_1_7_RANK,Q16_1_14_RANK,Q16_1_15_RANK,Q17,Q18_1,Q18_2,Q19,Q20,Q21_1,Q21_2,Q22_1_x,Q22_1_y,Q22,Q7 - Topics
8/28/2019 15:06,8/28/2019 15:11,IP Address,131.212.250.3,100,265,TRUE,8/28/2019 15:11,R_V50uw3sRpWgrkPf,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",3,35-44 years old,2,Male,9,White,5,Bachelor's Degree,4,"$65,000 - $79,999",55407,1,Urban,2,2,3,2,3,2,2,2,2,2,3,2,4,3,4,3,"Water purifiers/filter
 ",8,Pesticides,2,"Algae blooms,Death of fish and other aquatic life,Waterborne pathogens","Urban Runoff (storm drains),Individual Sewage Systems,Commercial/Industrial Waste,Agriculture","Dish-washing Detergent,Human Waste Products,Atmospheric Deposition,Stream Bank Erosion,Food/Garbage Disposal Waste",4,,,,3,1,,,2,,5,3,2,,,4,1,,Application of fertilizers,4,4,Word-of-mouth,Consumer,2,2,514,276,Northeastern Minnesota,Unknown
8/28/2019 15:02,8/28/2019 15:13,IP Address,131.212.248.219,100,640,TRUE,8/28/2019 15:13,R_2zGP8VR12qy2oM0,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",2,25-34 years old,1,Female,9,White,6,Graduate or professional degree,6,"$105,000 or more",55378,2,Suburban,1,1,3,2,2,2,1,1,4,3,4,3,2,2,2,2,"Water softeners
 ",7,Phosphorus,3,"Algae blooms,Death of fish and other aquatic life,Eutrophication","Urban Runoff (storm drains),Agriculture,Food/Garbage Disposal Waste,Stream Bank Erosion","Atmospheric Deposition,Human Waste Products,Individual Sewage Systems,Dish-washing Detergent,Commercial/Industrial Waste",2,3,,,,1,4,,,,,1,2,5,,,4,3,I don’t know,3,3,Other,"Academic/University Researcher/Extension,Student in agricultural field ,Consumer",1,2,449,736,Southeast Minnesota,Unknown
8/28/2019 15:06,8/28/2019 15:15,IP Address,131.212.251.242,100,561,TRUE,8/28/2019 15:15,R_2rZmNKBfVy924Xr,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",2,25-34 years old,2,Male,9,White,5,Bachelor's Degree,6,"$105,000 or more",55378,2,Suburban,4,3,2,2,3,2,3,2,1,1,1,1,1,1,4,3,"Water purifiers/filter
 ,Water softeners
 ",5,Synthetic chemicals,0,Heavy Metal Contamination,"Urban Runoff (storm drains),Commercial/Industrial Waste,Agriculture",Individual Sewage Systems,3,,,,2,1,,,,,,,,,,,,1,Application of fertilizers,3,3,News outlets,Consumer,1,1,530,227,Northeastern Minnesota,Unknown
8/28/2019 15:13,8/28/2019 15:17,IP Address,131.212.248.219,100,192,TRUE,8/28/2019 15:17,R_PvLf6i8PWAF5Wvf,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",2,25-34 years old,1,Female,9,White,5,Bachelor's Degree,6,"$105,000 or more",55105,1,Urban,4,3,4,3,4,3,3,2,1,1,1,1,4,3,4,3,"Water purifiers/filter
 ",10,Pesticides,0,"Toxic drinking water,Algae blooms,Death of fish and other aquatic life","Agriculture,Commercial/Industrial Waste","Individual Sewage Systems,Human Waste Products,Dish-washing Detergent",1,,,,2,,,,,,,,2,,,,3,1,I don’t know,3,2,News outlets,Consumer,2,2,382,599,The Twin-Cities Metro Area,Unknown
8/28/2019 15:13,8/28/2019 15:18,IP Address,131.212.248.184,100,257,TRUE,8/28/2019 15:18,R_2VKL1Yw9kgAYtZx,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",5,55-64 years old,1,Female,9,White,6,Graduate or professional degree,6,"$105,000 or more",55105,1,Urban,5,3,5,3,5,3,3,2,5,3,3,2,5,3,3,2,"Water purifiers/filter
 ,Bottled Water
 ",10,Nitrogen ,1,"Death of fish and other aquatic life,Skin rashes with contact","Urban Runoff (storm drains),Human Waste Products,Commercial/Industrial Waste,Agriculture","Food/Garbage Disposal Waste,Dish-washing Detergent",4,,,2,3,1,,,,,1,,,,,,2,,Runoff from animal operations,2,2,News outlets,Consumer,3,3,394,705,Southeast Minnesota,Unknown
8/28/2019 15:05,8/28/2019 15:18,IP Address,131.212.249.38,100,766,TRUE,8/28/2019 15:18,R_zUqNuuaDPh27Q6l,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",5,55-64 years old,1,Female,9,White,5,Bachelor's Degree,5,"$80,000 - $104,999",55313,2,Suburban,4,3,2,2,4,3,3,2,3,2,3,2,4,3,5,3,"Water purifiers/filter
 ",1,Bacteria,2,Death of fish and other aquatic life,Agriculture,Stream Bank Erosion,1,,,,,,,,,,,,,,,1,,,Application of fertilizers,2,1,Other,Consumer,2,2,211,675,Southwest Minnesota,Unknown
8/28/2019 15:11,8/28/2019 15:18,IP Address,131.212.250.3,100,405,TRUE,8/28/2019 15:18,R_1l0EnLrzpIWpAiC,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",5,55-64 years old,1,Female,9,White,5,Bachelor's Degree,5,"$80,000 - $104,999",55127,2,Suburban,5,3,5,3,4,3,3,2,5,3,5,3,5,3,5,3,"Water softeners
 ,Bottled Water
 ",10,Nitrogen ,0,,Agriculture,Atmospheric Deposition,1,,,,,,,,,,,1,,,,,,,I don’t know,5,5,News outlets,Consumer,3,4,187,628,Southwest Minnesota,Unknown
8/28/2019 15:12,8/28/2019 15:19,IP Address,131.212.250.57,100,389,TRUE,8/28/2019 15:19,R_31TQiA5ombkpYok,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",5,55-64 years old,1,Female,9,White,5,Bachelor's Degree,3,"$45,000 - $64,999",56282,3,Rural,5,3,3,2,5,3,1,1,3,2,4,3,2,2,3,2,"Water purifiers/filter
 ,Water softeners
 ,Bottled Water
 ",2,Pesticides,1,Death of fish and other aquatic life,"Commercial/Industrial Waste,Agriculture,Urban Runoff (storm drains),Atmospheric Deposition,Individual Sewage Systems,Human Waste Products","Stream Bank Erosion,Dish-washing Detergent,Food/Garbage Disposal Waste",2,,4,6,1,3,,,5,,3,,,,,1,2,,Cropland runoff,2,,Word-of-mouth,"Producer/Farmer,Consumer",3,3,447,256,Northeastern Minnesota,Unknown
8/28/2019 15:16,8/28/2019 15:19,IP Address,131.212.251.242,100,195,TRUE,8/28/2019 15:19,R_1EhQOUWdJ687CCm,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",1,18-24 years old,2,Male,6,Asian,5,Bachelor's Degree,4,"$65,000 - $79,999",55414,1,Urban,4,3,3,2,3,2,4,3,3,2,4,3,3,2,4,3,"Water purifiers/filter
 ,Bottled Water
 ",5,Bacteria,3,"Toxic drinking water,Heavy Metal Contamination,Skin rashes with contact","Food/Garbage Disposal Waste,Stream Bank Erosion,Commercial/Industrial Waste,Agriculture,Human Waste Products","Individual Sewage Systems,Atmospheric Deposition,Urban Runoff (storm drains),Dish-washing Detergent",4,1,,5,3,,2,,,,,2,,,3,,4,1,Application of fertilizers,3,2,Government reports,Consumer,3,4,388,600,The Twin-Cities Metro Area,Unknown
8/28/2019 15:14,8/28/2019 15:19,IP Address,131.212.248.180,100,323,TRUE,8/28/2019 15:19,R_1q9xdalZQQ2EaIE,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",5,55-64 years old,2,Male,9,White,6,Graduate or professional degree,6,"$105,000 or more",55105,1,Urban,5,3,5,3,5,3,3,2,3,2,3,2,5,3,5,3,"Water purifiers/filter
 ,Water cooler tanks (e.g. Culligan Water)
 ",6,Nitrogen ,2,"Toxic drinking water,Disease from consumption,Skin rashes with contact","Agriculture,Urban Runoff (storm drains)",,1,,,,,2,,,,,,,,,,,,,Cropland runoff,3,3,News outlets,Consumer,3,3,379,714,Southeast Minnesota,Unknown
8/28/2019 15:11,8/28/2019 15:20,IP Address,131.212.251.59,100,587,TRUE,8/28/2019 15:20,R_2S7vAIIhByjn8f5,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",4,45-54 years old,1,Female,9,White,2,High School Diploma or GED,6,"$105,000 or more",55303,2,Suburban,5,3,5,3,5,3,3,2,5,3,5,3,5,3,5,3,"Bottled Water
 ",3,Nitrogen ,4,"Toxic drinking water,Algae blooms,Disease from consumption,Eutrophication,Skin rashes with contact","Dish-washing Detergent,Agriculture,Stream Bank Erosion,Urban Runoff (storm drains)","Individual Sewage Systems,Commercial/Industrial Waste,Human Waste Products,Atmospheric Deposition,Food/Garbage Disposal Waste",2,,,,,4,3,1,,,5,4,3,2,,,,1,Cropland runoff,0,0,Government reports,Agricultural industry member,2,4,141,564,Southwest Minnesota,Unknown
8/28/2019 15:18,8/28/2019 15:21,IP Address,131.212.248.184,100,157,TRUE,8/28/2019 15:21,R_25Spyfx9zAIbJMy,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",1,18-24 years old,2,Male,6,Asian,6,Graduate or professional degree,2,"$25,000 - $44,999",55414,1,Urban,5,3,4,3,3,2,4,3,4,3,4,3,3,2,5,3,"Water purifiers/filter
 ",10,Pesticides,1,Toxic drinking water,"Dish-washing Detergent,Individual Sewage Systems,Human Waste Products,Urban Runoff (storm drains),Commercial/Industrial Waste","Food/Garbage Disposal Waste,Stream Bank Erosion,Atmospheric Deposition,Agriculture",,,,3,5,4,,1,2,4,1,3,,,,2,,,Erosion,2,1,School,Consumer,3,3,142,339,Northwestern Minnesota,Unknown
8/28/2019 15:17,8/28/2019 15:21,IP Address,131.212.248.219,100,231,TRUE,8/28/2019 15:21,R_2fiLuNag1RTWUFB,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",1,18-24 years old,2,Male,6,Asian,5,Bachelor's Degree,1,"Less than $24,999",55414,1,Urban,4,3,4,3,4,3,4,3,2,2,1,1,4,3,4,3,"Water purifiers/filter
 ,Water cooler tanks (e.g. Culligan Water)
 ,Bottled Water
 ",2,Bacteria,3,"Toxic drinking water,Disease from consumption,Skin rashes with contact","Urban Runoff (storm drains),Commercial/Industrial Waste,Dish-washing Detergent,Individual Sewage Systems,Human Waste Products","Food/Garbage Disposal Waste,Atmospheric Deposition,Agriculture,Stream Bank Erosion",,,,5,2,1,,3,4,3,1,2,,,,4,,,Erosion,3,3,Social media,Consumer,2,2,562,290,Northeastern Minnesota,Unknown
